Entity ID,Acquisition Date,Publication Date,Resolution,Date Updated,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID
SRTM1N36W008V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,37°00'00"N,8°00'00"W,37°00'00"N,7°00'00"W,36°00'00"N,7°00'00"W,36°00'00"N,8°00'00"W,37,-8,37,-7,36,-7,36,-8,SRTM1N36W008V3
SRTM1N36W009V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,37°00'00"N,9°00'00"W,37°00'00"N,8°00'00"W,36°00'00"N,8°00'00"W,36°00'00"N,9°00'00"W,37,-9,37,-8,36,-8,36,-9,SRTM1N36W009V3
SRTM1N37W007V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,38°00'00"N,7°00'00"W,38°00'00"N,6°00'00"W,37°00'00"N,6°00'00"W,37°00'00"N,7°00'00"W,38,-7,38,-6,37,-6,37,-7,SRTM1N37W007V3
SRTM1N37W008V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,38°00'00"N,8°00'00"W,38°00'00"N,7°00'00"W,37°00'00"N,7°00'00"W,37°00'00"N,8°00'00"W,38,-8,38,-7,37,-7,37,-8,SRTM1N37W008V3
SRTM1N37W009V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,38°00'00"N,9°00'00"W,38°00'00"N,8°00'00"W,37°00'00"N,8°00'00"W,37°00'00"N,9°00'00"W,38,-9,38,-8,37,-8,37,-9,SRTM1N37W009V3
SRTM1N38W007V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,39°00'00"N,7°00'00"W,39°00'00"N,6°00'00"W,38°00'00"N,6°00'00"W,38°00'00"N,7°00'00"W,39,-7,39,-6,38,-6,38,-7,SRTM1N38W007V3
SRTM1N38W008V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,39°00'00"N,8°00'00"W,39°00'00"N,7°00'00"W,38°00'00"N,7°00'00"W,38°00'00"N,8°00'00"W,39,-8,39,-7,38,-7,38,-8,SRTM1N38W008V3
SRTM1N38W009V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,39°00'00"N,9°00'00"W,39°00'00"N,8°00'00"W,38°00'00"N,8°00'00"W,38°00'00"N,9°00'00"W,39,-9,39,-8,38,-8,38,-9,SRTM1N38W009V3
SRTM1N38W010V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,39°00'00"N,10°00'00"W,39°00'00"N,9°00'00"W,38°00'00"N,9°00'00"W,38°00'00"N,10°00'00"W,39,-10,39,-9,38,-9,38,-10,SRTM1N38W010V3
SRTM1N39W007V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,40°00'00"N,7°00'00"W,40°00'00"N,6°00'00"W,39°00'00"N,6°00'00"W,39°00'00"N,7°00'00"W,40,-7,40,-6,39,-6,39,-7,SRTM1N39W007V3
SRTM1N39W008V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,40°00'00"N,8°00'00"W,40°00'00"N,7°00'00"W,39°00'00"N,7°00'00"W,39°00'00"N,8°00'00"W,40,-8,40,-7,39,-7,39,-8,SRTM1N39W008V3
SRTM1N39W009V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,40°00'00"N,9°00'00"W,40°00'00"N,8°00'00"W,39°00'00"N,8°00'00"W,39°00'00"N,9°00'00"W,40,-9,40,-8,39,-8,39,-9,SRTM1N39W009V3
SRTM1N39W010V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,40°00'00"N,10°00'00"W,40°00'00"N,9°00'00"W,39°00'00"N,9°00'00"W,39°00'00"N,10°00'00"W,40,-10,40,-9,39,-9,39,-10,SRTM1N39W010V3
SRTM1N40W007V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,41°00'00"N,7°00'00"W,41°00'00"N,6°00'00"W,40°00'00"N,6°00'00"W,40°00'00"N,7°00'00"W,41,-7,41,-6,40,-6,40,-7,SRTM1N40W007V3
SRTM1N40W008V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,41°00'00"N,8°00'00"W,41°00'00"N,7°00'00"W,40°00'00"N,7°00'00"W,40°00'00"N,8°00'00"W,41,-8,41,-7,40,-7,40,-8,SRTM1N40W008V3
SRTM1N40W009V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,41°00'00"N,9°00'00"W,41°00'00"N,8°00'00"W,40°00'00"N,8°00'00"W,40°00'00"N,9°00'00"W,41,-9,41,-8,40,-8,40,-9,SRTM1N40W009V3
SRTM1N41W006V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,42°00'00"N,6°00'00"W,42°00'00"N,5°00'00"W,41°00'00"N,5°00'00"W,41°00'00"N,6°00'00"W,42,-6,42,-5,41,-5,41,-6,SRTM1N41W006V3
SRTM1N41W007V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,42°00'00"N,7°00'00"W,42°00'00"N,6°00'00"W,41°00'00"N,6°00'00"W,41°00'00"N,7°00'00"W,42,-7,42,-6,41,-6,41,-7,SRTM1N41W007V3
SRTM1N41W008V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,42°00'00"N,8°00'00"W,42°00'00"N,7°00'00"W,41°00'00"N,7°00'00"W,41°00'00"N,8°00'00"W,42,-8,42,-7,41,-7,41,-8,SRTM1N41W008V3
SRTM1N41W009V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,42°00'00"N,9°00'00"W,42°00'00"N,8°00'00"W,41°00'00"N,8°00'00"W,41°00'00"N,9°00'00"W,42,-9,42,-8,41,-8,41,-9,SRTM1N41W009V3
SRTM1N42W006V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,43°00'00"N,6°00'00"W,43°00'00"N,5°00'00"W,42°00'00"N,5°00'00"W,42°00'00"N,6°00'00"W,43,-6,43,-5,42,-5,42,-6,SRTM1N42W006V3
SRTM1N42W007V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,43°00'00"N,7°00'00"W,43°00'00"N,6°00'00"W,42°00'00"N,6°00'00"W,42°00'00"N,7°00'00"W,43,-7,43,-6,42,-6,42,-7,SRTM1N42W007V3
SRTM1N42W008V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,43°00'00"N,8°00'00"W,43°00'00"N,7°00'00"W,42°00'00"N,7°00'00"W,42°00'00"N,8°00'00"W,43,-8,43,-7,42,-7,42,-8,SRTM1N42W008V3
SRTM1N42W009V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,43°00'00"N,9°00'00"W,43°00'00"N,8°00'00"W,42°00'00"N,8°00'00"W,42°00'00"N,9°00'00"W,43,-9,43,-8,42,-8,42,-9,SRTM1N42W009V3
SRTM1N42W010V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.098091-05,43°00'00"N,10°00'00"W,43°00'00"N,9°00'00"W,42°00'00"N,9°00'00"W,42°00'00"N,10°00'00"W,43,-10,43,-9,42,-9,42,-10,SRTM1N42W010V3
